client_id,first_name,last_name,age,gender,email,phone_number,address,city,province,postal_code,employment_status,income_bracket,account_type,account_open_date,avg_monthly_balance,avg_monthly_transactions,total_transaction_volume,loan_products,credit_card_usage_percent,num_overdrafts_last_6_months,missed_payments_last_12_months,online_banking_usage,products_owned,has_investment_account,has_mortgage,mortgage_balance,has_auto_loan,auto_loan_balance
0,Alan,Stewart,72,Female,Chad87@Example.Net,(923)615-7912,6845 Stephanie Extension,Port Jennifer,Ontario,25609,Unemployed,$30K–$60K,Chequing,2022-11-17,7887,25,48516,Yes,16,0,0,Never,Credit Card;Tfsa;Rrsp;Mortgage,Yes,No,0,No,0
1,Kristopher,Mckee,59,Other,Wcarr@Example.Com,778.264.8371,22856 Tony Gateway Suite 580,Carrillofurt,Quebec,42876,Unemployed,<$30K,Joint,2021-09-23,2998,36,90765,No,89,0,3,Never,Tfsa;Credit Card,Yes,Yes,353072,Yes,85633
2,Zachary,Strong,22,Female,Rodriguezdawn@Example.Org,+1-715-781-4171X481,721 Jacob Pass,East Tony,Quebec,55054,Employed,$30K–$60K,Savings,2016-08-12,6946,68,37861,No,82,2,0,Weekly,Rrsp;Credit Card,No,No,0,No,0
3,Stephanie,Smith,51,Female,Clairemitchell@Example.Org,676.859.4600,782 Young Spurs Apt. 069,Katherineburgh,British Columbia,77754,Student,>$100K,Joint,2015-07-18,6051,42,19383,No,34,0,3,Weekly,Credit Card;Tfsa;Mortgage,No,No,0,Yes,10892
4,Joseph,Frazier,78,Female,Whunt@Example.Com,001-999-633-3231X76228,72435 Rodney Parkways,Timothyburgh,Manitoba,29936,Retired,$60K–$100K,Savings,2022-11-25,6078,35,46030,Yes,9,2,3,Rarely,Tfsa;Credit Card;Rrsp;Mortgage,Yes,No,0,No,0
5,Laura,Johnson,60,Male,Ddelgado@Example.Net,693-710-2445,880 Keller Glen,East Jesse,Ontario,36199,Student,>$100K,Chequing,2018-07-30,2803,95,3521,Yes,60,0,2,Never,Credit Card,Yes,Yes,80859,Yes,86041
6,Molly,Hensley,51,Other,Chelsey34@Example.Org,+1-687-724-6548X2118,868 Powell Ridges,Yuport,Quebec,38574,Employed,>$100K,Chequing,2020-12-17,6419,83,93889,Yes,51,1,1,Rarely,Rrsp,Yes,No,0,Yes,88057
7,Catherine,Stevenson,59,Female,Eburke@Example.Org,4812178194,4602 Jessica Station Apt. 231,Brittneyshire,British Columbia,81804,Employed,$60K–$100K,Savings,2015-10-15,2434,93,77123,Yes,97,4,0,Rarely,Rrsp;Credit Card;Mortgage,Yes,No,0,Yes,99422
8,Anthony,Anthony,45,Male,Burnettmichelle@Example.Com,(403)428-6536X081,78817 Justin Manors,North Kaylashire,Newfoundland And Labrador,32216,Unemployed,$30K–$60K,Savings,2023-01-10,6261,48,2849,Yes,35,4,3,Weekly,Credit Card;Rrsp,Yes,No,0,No,0
9,Walter,Cortez,44,Male,Daycrystal@Example.Org,7195768451,1771 Trevino Springs,Port Danielport,British Columbia,14037,Unemployed,$60K–$100K,Savings,2018-02-21,8019,99,92673,Yes,75,3,0,Daily,Mortgage;Credit Card;Rrsp,No,No,0,No,0
10,Frederick,Barton,41,Male,Yreyes@Example.Org,+1-767-414-8524X218,2664 William Parkways,Lopezshire,Newfoundland And Labrador,32132,Student,$60K–$100K,Joint,2016-12-20,3088,90,69257,No,59,2,0,Never,Mortgage;Tfsa,Yes,Yes,239490,Yes,69887
