client_id,first_name,last_name,age,gender,email,phone_number,address,city,province,postal_code,employment_status,income_bracket,account_type,account_open_date,avg_monthly_balance,avg_monthly_transactions,total_transaction_volume,loan_products,credit_card_usage_percent,num_overdrafts_last_6_months,missed_payments_last_12_months,online_banking_usage,products_owned,has_investment_account,has_mortgage,mortgage_balance,has_auto_loan,auto_loan_balance,age_group
0,Alan,Stewart,72,Female,chad87@example.net,(923)615-7912,6845 Stephanie Extension,Port Jennifer,Ontario,25609,Unemployed,$30k–$60k,Chequing,2022-11-17,7887,25,48516,Yes,16,0,0,Never,Credit Card;TFSA;RRSP;Mortgage,Yes,No,0,No,0,55+
1,Kristopher,Mckee,59,Other,wcarr@example.com,778.264.8371,22856 Tony Gateway Suite 580,Carrillofurt,Quebec,42876,Unemployed,<$30k,Joint,2021-09-23,2998,36,90765,No,89,0,3,Never,TFSA;Credit Card,Yes,Yes,353072,Yes,85633,55+
2,Zachary,Strong,22,Female,rodriguezdawn@example.org,+1-715-781-4171x481,721 Jacob Pass,East Tony,Quebec,55054,Employed,$30k–$60k,Savings,2016-08-12,6946,68,37861,No,82,2,0,Weekly,RRSP;Credit Card,No,No,0,No,0,18-24
3,Stephanie,Smith,51,Female,clairemitchell@example.org,676.859.4600,782 Young Spurs Apt. 069,Katherineburgh,British Columbia,77754,Student,>$100k,Joint,2015-07-18,6051,42,19383,No,34,0,3,Weekly,Credit Card;TFSA;Mortgage,No,No,0,Yes,10892,45-54
4,Joseph,Frazier,78,Female,whunt@example.com,001-999-633-3231x76228,72435 Rodney Parkways,Timothyburgh,Manitoba,29936,Retired,$60k–$100k,Savings,2022-11-25,6078,35,46030,Yes,9,2,3,Rarely,TFSA;Credit Card;RRSP;Mortgage,Yes,No,0,No,0,55+
5,Laura,Johnson,60,Male,ddelgado@example.net,693-710-2445,880 Keller Glen,East Jesse,Ontario,36199,Student,>$100k,Chequing,2018-07-30,2803,95,3521,Yes,60,0,2,Never,Credit Card,Yes,Yes,80859,Yes,86041,55+
6,Molly,Hensley,51,Other,chelsey34@example.org,+1-687-724-6548x2118,868 Powell Ridges,Yuport,Quebec,38574,Employed,>$100k,Chequing,2020-12-17,6419,83,93889,Yes,51,1,1,Rarely,RRSP,Yes,No,0,Yes,88057,45-54
7,Catherine,Stevenson,59,Female,eburke@example.org,4812178194,4602 Jessica Station Apt. 231,Brittneyshire,British Columbia,81804,Employed,$60k–$100k,Savings,2015-10-15,2434,93,77123,Yes,97,4,0,Rarely,RRSP;Credit Card;Mortgage,Yes,No,0,Yes,99422,55+
8,Anthony,Anthony,45,Male,burnettmichelle@example.com,(403)428-6536x081,78817 Justin Manors,North Kaylashire,Newfoundland and Labrador,32216,Unemployed,$30k–$60k,Savings,2023-01-10,6261,48,2849,Yes,35,4,3,Weekly,Credit Card;RRSP,Yes,No,0,No,0,45-54
9,Walter,Cortez,44,Male,daycrystal@example.org,7195768451,1771 Trevino Springs,Port Danielport,British Columbia,14037,Unemployed,$60k–$100k,Savings,2018-02-21,8019,99,92673,Yes,75,3,0,Daily,Mortgage;Credit Card;RRSP,No,No,0,No,0,35-44
