client_id,first_name,last_name,age,gender,email,phone_number,address,city,province,postal_code,employment_status,income_bracket,account_type,account_open_date,avg_monthly_balance,avg_monthly_transactions,total_transaction_volume,loan_products,credit_card_usage_percent,num_overdrafts_last_6_months,missed_payments_last_12_months,online_banking_usage,products_owned,has_investment_account,has_mortgage,mortgage_balance,has_auto_loan,auto_loan_balance
0,Andrew,Stevenson,35,Other,olivermatthew@example.net,(764)473-7863x2450,225 Jennifer Curve Apt. 467,West Nicholas,Massachusetts,12603,Unemployed,>$100k,Chequing,2019-09-02,5706,83,9701,No,17,2,1,Daily,Credit Card;RRSP;TFSA;Mortgage,No,Yes,306666,Yes,79915
1,Cynthia,Jones,19,Female,thompsonannette@example.org,875.784.3719,1303 Melissa Harbor Suite 694,North Garyshire,Minnesota,88950,Retired,$60k–$100k,Business,2022-01-02,5401,55,64768,Yes,62,1,1,Never,TFSA;Credit Card;Mortgage,No,Yes,60564,Yes,16695
2,Gregory,Phillips,58,Male,brendajoseph@example.net,001-285-587-6015,188 Jessica Glens,East Marybury,Rhode Island,59469,Unemployed,>$100k,Savings,2018-03-21,7247,74,64768,No,74,3,2,Daily,Credit Card;RRSP,No,No,0,No,0
3,Erin,Ramos,33,Male,robertthornton@example.org,598-457-3856x610,1286 Clarke Turnpike Apt. 248,Port Isabella,Arizona,52120,Employed,>$100k,Savings,2025-01-25,4207,93,97963,Yes,100,5,0,Daily,RRSP;Credit Card,No,Yes,438915,Yes,20183
4,Regina,Hawkins,52,Female,susan64@example.org,001-999-701-9603x46691,862 Susan Spur,Port Derrickview,Hawaii,75639,Retired,>$100k,Chequing,2023-05-29,7148,72,83786,No,24,4,3,Never,RRSP;TFSA;Credit Card;Mortgage,No,Yes,331837,Yes,83765
5,Crystal,Munoz,18,Other,fdunn@example.org,893-482-1362x487,411 Jacobson Mills Apt. 785,Arroyomouth,Louisiana,15066,Student,$60k–$100k,Chequing,2024-07-07,656,67,25900,Yes,20,0,3,Daily,Credit Card;RRSP;TFSA,No,No,0,Yes,63488
6,Taylor,Fitzgerald,45,Other,rachelharris@example.net,+1-979-732-2679x20562,09702 Long Garden,West Andreaville,Idaho,61746,Retired,$30k–$60k,Joint,2024-05-05,1926,98,4749,No,90,4,3,Daily,RRSP;Mortgage,Yes,Yes,237848,Yes,49116
7,Cynthia,Torres,70,Other,alexanderrivas@example.net,681.457.0947,36024 Scott Courts,Craigville,Massachusetts,78380,Unemployed,<$30k,Joint,2024-03-28,5325,61,96496,Yes,39,1,0,Never,Credit Card,Yes,Yes,438126,No,0
8,Sarah,Ellis,78,Female,juliaturner@example.net,6283662645,80519 Sherri Track Suite 590,Saratown,Wyoming,34383,Retired,>$100k,Business,2015-06-15,8182,35,39503,Yes,21,5,1,Daily,Mortgage;TFSA;RRSP;Credit Card,Yes,Yes,416649,No,0
9,Barbara,Torres,75,Other,zsmith@example.com,543.300.4512,1990 Jason Place Apt. 675,Whitemouth,New Jersey,08719,Retired,>$100k,Savings,2018-12-11,6424,30,32504,No,66,1,3,Weekly,RRSP;TFSA,No,Yes,313424,No,0
